,label
4032,True
2452,True
43916,Fake
35604,Fake
13534,True
4323,True
32765,Fake
34826,Fake
16767,True
38869,Fake
2681,True
6594,True
42112,Fake
7431,True
8777,True
18297,True
31962,Fake
4127,True
13467,True
31769,Fake
23998,Fake
10057,True
31118,Fake
9285,True
2871,True
37544,Fake
2938,True
30619,Fake
16107,True
42281,Fake
37801,Fake
458,True
41206,Fake
38764,Fake
11936,True
26982,Fake
19465,True
13309,True
13716,True
34641,Fake
36985,Fake
35789,Fake
36775,Fake
20495,True
452,True
38662,Fake
44683,Fake
32550,Fake
5225,True
10721,True
1611,True
38386,Fake
38624,Fake
24055,Fake
43346,Fake
22176,Fake
33608,Fake
18849,True
7447,True
5961,True
14886,True
31387,Fake
12834,True
2646,True
42302,Fake
12071,True
24509,Fake
33077,Fake
20234,True
6751,True
3518,True
5027,True
17062,True
13798,True
41394,Fake
14728,True
14230,True
2001,True
31488,Fake
35393,Fake
17362,True
28607,Fake
23279,Fake
2320,True
6135,True
5351,True
41494,Fake
21281,True
43121,Fake
33311,Fake
39999,Fake
44235,Fake
43233,Fake
36591,Fake
24329,Fake
10425,True
42349,Fake
13314,True
13078,True
15029,True
38792,Fake
5399,True
29550,Fake
32775,Fake
41129,Fake
35010,Fake
8270,True
3120,True
8247,True
13905,True
31578,Fake
41220,Fake
3642,True
37601,Fake
35792,Fake
25619,Fake
41376,Fake
24298,Fake
910,True
10252,True
849,True
42182,Fake
24838,Fake
5758,True
12699,True
41786,Fake
31592,Fake
42518,Fake
6734,True
20223,True
30175,Fake
26366,Fake
16203,True
20925,True
20662,True
31371,Fake
25080,Fake
40961,Fake
27310,Fake
37207,Fake
11112,True
30610,Fake
12754,True
21767,Fake
20865,True
30247,Fake
13027,True
15917,True
41147,Fake
33347,Fake
23594,Fake
9272,True
14387,True
32003,Fake
20396,True
3244,True
22382,Fake
40715,Fake
23641,Fake
29105,Fake
17384,True
27007,Fake
18851,True
31523,Fake
42367,Fake
1408,True
16335,True
32627,Fake
5747,True
35693,Fake
44845,Fake
44461,Fake
9526,True
29431,Fake
12816,True
11513,True
21312,True
26853,Fake
41036,Fake
42246,Fake
34733,Fake
40931,Fake
15601,True
28256,Fake
2821,True
26589,Fake
17341,True
30884,Fake
10605,True
36205,Fake
24443,Fake
10048,True
4089,True
32420,Fake
28699,Fake
33830,Fake
7071,True
36988,Fake
39452,Fake
33072,Fake
20162,True
11949,True
38327,Fake
29775,Fake
8362,True
20065,True
28532,Fake
21459,Fake
856,True
20971,True
32449,Fake
31504,Fake
37154,Fake
43104,Fake
23028,Fake
15193,True
10843,True
42941,Fake
22932,Fake
18116,True
41438,Fake
29117,Fake
6208,True
29927,Fake
33706,Fake
36149,Fake
1718,True
29364,Fake
8480,True
8417,True
43047,Fake
22642,Fake
12161,True
28037,Fake
37256,Fake
9982,True
42461,Fake
26409,Fake
39338,Fake
25980,Fake
26226,Fake
35492,Fake
9438,True
10150,True
38572,Fake
39519,Fake
5179,True
26526,Fake
27351,Fake
17918,True
40914,Fake
29035,Fake
23125,Fake
36531,Fake
2505,True
13608,True
5564,True
22963,Fake
12739,True
4551,True
16619,True
41512,Fake
3391,True
34688,Fake
22886,Fake
25064,Fake
18764,True
804,True
12098,True
29385,Fake
9970,True
33132,Fake
9664,True
6155,True
37553,Fake
754,True
43313,Fake
10758,True
16838,True
11508,True
591,True
29028,Fake
33915,Fake
10757,True
1681,True
3271,True
12822,True
28591,Fake
2440,True
37419,Fake
38208,Fake
21084,True
34250,Fake
7020,True
41278,Fake
3662,True
4160,True
2901,True
6500,True
7266,True
19659,True
34511,Fake
36976,Fake
41479,Fake
44469,Fake
32870,Fake
4245,True
5161,True
24235,Fake
11832,True
10103,True
36178,Fake
20423,True
9221,True
41480,Fake
20834,True
31102,Fake
34396,Fake
16211,True
14390,True
20742,True
41591,Fake
34209,Fake
14258,True
27628,Fake
36754,Fake
26259,Fake
8124,True
41773,Fake
43801,Fake
11662,True
5261,True
20107,True
28601,Fake
38935,Fake
10258,True
30470,Fake
42810,Fake
36014,Fake
26489,Fake
74,True
13815,True
21538,Fake
23649,Fake
13605,True
3203,True
5260,True
20438,True
5095,True
23631,Fake
10120,True
23855,Fake
7203,True
21063,True
28007,Fake
39729,Fake
18310,True
43749,Fake
19787,True
26042,Fake
23496,Fake
8244,True
32734,Fake
23035,Fake
3376,True
8182,True
43762,Fake
5398,True
30535,Fake
31133,Fake
38108,Fake
33681,Fake
15157,True
9704,True
38201,Fake
8199,True
42696,Fake
43743,Fake
4991,True
6197,True
31587,Fake
29116,Fake
11728,True
23307,Fake
37349,Fake
36286,Fake
23545,Fake
25684,Fake
29471,Fake
20873,True
41236,Fake
20926,True
11208,True
8647,True
38964,Fake
44772,Fake
26268,Fake
10233,True
40704,Fake
18747,True
21501,Fake
25703,Fake
29318,Fake
10617,True
21571,Fake
7748,True
11815,True
26070,Fake
18730,True
42630,Fake
28761,Fake
7638,True
34404,Fake
5444,True
19281,True
777,True
19893,True
2970,True
4528,True
33296,Fake
43239,Fake
41889,Fake
31836,Fake
42936,Fake
9730,True
44636,Fake
8044,True
3375,True
7119,True
11934,True
37729,Fake
32546,Fake
32757,Fake
17487,True
973,True
2399,True
3529,True
28462,Fake
13055,True
3864,True
41083,Fake
32465,Fake
17058,True
28757,Fake
42248,Fake
10467,True
10974,True
6285,True
17312,True
11730,True
15132,True
9117,True
27739,Fake
36895,Fake
15555,True
19840,True
39916,Fake
26517,Fake
33088,Fake
25407,Fake
39139,Fake
29478,Fake
38421,Fake
36477,Fake
17867,True
10260,True
41945,Fake
44596,Fake
3053,True
9619,True
23976,Fake
5983,True
31977,Fake
12532,True
14272,True
20630,True
18151,True
22164,Fake
34723,Fake
40520,Fake
10992,True
44083,Fake
9894,True
42781,Fake
11353,True
750,True
14624,True
26345,Fake
19275,True
37617,Fake
27254,Fake
19751,True
11880,True
10552,True
14407,True
23060,Fake
24884,Fake
17351,True
12055,True
24700,Fake
426,True
44394,Fake
28238,Fake
16150,True
38873,Fake
23274,Fake
25143,Fake
18995,True
36861,Fake
41691,Fake
10819,True
33096,Fake
16062,True
2158,True
38889,Fake
41197,Fake
30390,Fake
10215,True
4988,True
43778,Fake
1600,True
21006,True
31623,Fake
43186,Fake
32252,Fake
16397,True
27677,Fake
4244,True
11008,True
8094,True
24421,Fake
13630,True
10362,True
2961,True
18517,True
6835,True
20540,True
44703,Fake
189,True
25493,Fake
39355,Fake
2193,True
42004,Fake
35657,Fake
40314,Fake
1693,True
33408,Fake
5523,True
33206,Fake
11518,True
81,True
35949,Fake
29745,Fake
1341,True
42585,Fake
1941,True
15573,True
21986,Fake
2992,True
17301,True
33794,Fake
18234,True
7506,True
1821,True
35928,Fake
43711,Fake
27752,Fake
34475,Fake
33142,Fake
41991,Fake
9531,True
20621,True
7436,True
30235,Fake
27244,Fake
28282,Fake
11390,True
1317,True
27327,Fake
24646,Fake
27119,Fake
3381,True
43317,Fake
24499,Fake
8651,True
21930,Fake
12077,True
4193,True
42483,Fake
4600,True
5711,True
42216,Fake
22892,Fake
20734,True
23910,Fake
6943,True
14176,True
7690,True
39721,Fake
12219,True
7602,True
42526,Fake
17346,True
38353,Fake
40465,Fake
33395,Fake
36309,Fake
15177,True
14653,True
29381,Fake
40427,Fake
16394,True
33508,Fake
7326,True
8254,True
6732,True
23123,Fake
37386,Fake
29452,Fake
11420,True
3514,True
111,True
36478,Fake
284,True
27473,Fake
30780,Fake
16336,True
15092,True
15039,True
1707,True
25650,Fake
41950,Fake
43441,Fake
37923,Fake
24236,Fake
39403,Fake
38918,Fake
33086,Fake
26204,Fake
35571,Fake
9567,True
42486,Fake
30789,Fake
17618,True
40086,Fake
17889,True
40643,Fake
32832,Fake
3439,True
67,True
6729,True
780,True
12761,True
22559,Fake
4217,True
3717,True
12538,True
41363,Fake
33258,Fake
24651,Fake
13894,True
3480,True
11101,True
1679,True
34690,Fake
44738,Fake
39874,Fake
37238,Fake
7737,True
17150,True
24387,Fake
5474,True
21532,Fake
41368,Fake
10902,True
42673,Fake
31090,Fake
4525,True
23006,Fake
34256,Fake
26403,Fake
5615,True
32992,Fake
28811,Fake
5775,True
34850,Fake
41172,Fake
36087,Fake
39050,Fake
18070,True
32535,Fake
30593,Fake
31979,Fake
22313,Fake
35454,Fake
4425,True
4812,True
16345,True
18152,True
20659,True
19598,True
36081,Fake
31312,Fake
1063,True
4796,True
28850,Fake
10599,True
8884,True
11038,True
14723,True
29674,Fake
7335,True
26021,Fake
24572,Fake
18333,True
8255,True
37299,Fake
20932,True
5563,True
35115,Fake
24378,Fake
40238,Fake
40381,Fake
35260,Fake
33804,Fake
4583,True
22132,Fake
41549,Fake
1840,True
19487,True
14561,True
28466,Fake
9572,True
21955,Fake
27820,Fake
42822,Fake
16939,True
293,True
36315,Fake
21319,True
8632,True
38301,Fake
9905,True
26994,Fake
34504,Fake
38963,Fake
38324,Fake
12738,True
35849,Fake
12647,True
12332,True
12592,True
29871,Fake
40587,Fake
42988,Fake
30569,Fake
22927,Fake
40302,Fake
14578,True
6994,True
2410,True
3343,True
191,True
20113,True
15191,True
44417,Fake
32337,Fake
343,True
6926,True
13904,True
38269,Fake
4405,True
38916,Fake
33238,Fake
28464,Fake
16002,True
17181,True
33036,Fake
34286,Fake
31032,Fake
35500,Fake
23515,Fake
32075,Fake
10230,True
14905,True
8979,True
29847,Fake
34161,Fake
2304,True
36156,Fake
13307,True
40203,Fake
25637,Fake
9118,True
18188,True
2040,True
25076,Fake
28859,Fake
41004,Fake
42128,Fake
32173,Fake
2195,True
8921,True
12286,True
1021,True
10681,True
18777,True
20530,True
27278,Fake
20599,True
25335,Fake
33987,Fake
37978,Fake
33676,Fake
17849,True
24141,Fake
31266,Fake
26723,Fake
6938,True
17236,True
28848,Fake
7898,True
2435,True
41652,Fake
20523,True
8810,True
6636,True
44695,Fake
29083,Fake
28524,Fake
32774,Fake
1117,True
15342,True
13239,True
18606,True
40773,Fake
1553,True
37753,Fake
22243,Fake
13272,True
31352,Fake
16975,True
4324,True
21013,True
5832,True
12589,True
28381,Fake
8073,True
7168,True
23226,Fake
12462,True
4621,True
18586,True
13245,True
5397,True
35748,Fake
1426,True
24151,Fake
11904,True
25077,Fake
7740,True
41103,Fake
595,True
14143,True
42051,Fake
6444,True
7016,True
11392,True
44705,Fake
31149,Fake
29177,Fake
178,True
11834,True
24591,Fake
4027,True
25342,Fake
2082,True
44130,Fake
35632,Fake
8679,True
7464,True
37215,Fake
26196,Fake
36409,Fake
40853,Fake
44212,Fake
31227,Fake
36002,Fake
20459,True
10885,True
26896,Fake
37976,Fake
2885,True
21602,Fake
44595,Fake
11546,True
22879,Fake
40291,Fake
31031,Fake
22407,Fake
30584,Fake
31174,Fake
18914,True
9607,True
9419,True
33150,Fake
44166,Fake
27189,Fake
5972,True
25640,Fake
41682,Fake
42649,Fake
44819,Fake
25426,Fake
12927,True
6730,True
1582,True
23152,Fake
21781,Fake
40977,Fake
17000,True
35871,Fake
26374,Fake
10893,True
31147,Fake
22797,Fake
15928,True
12779,True
4760,True
5371,True
33269,Fake
37802,Fake
32189,Fake
27625,Fake
17669,True
28846,Fake
33468,Fake
13169,True
10768,True
35345,Fake
38707,Fake
3273,True
11158,True
14225,True
11463,True
24657,Fake
3232,True
34993,Fake
36440,Fake
20364,True
7255,True
31235,Fake
9590,True
27406,Fake
15829,True
18287,True
13118,True
34259,Fake
24919,Fake
7164,True
39078,Fake
24636,Fake
3741,True
21791,Fake
25534,Fake
2319,True
38017,Fake
39132,Fake
37303,Fake
28777,Fake
11110,True
8719,True
21110,True
33159,Fake
48,True
14557,True
37737,Fake
3883,True
9264,True
42608,Fake
12926,True
19929,True
8144,True
40687,Fake
33247,Fake
6743,True
44554,Fake
32519,Fake
24972,Fake
42102,Fake
34385,Fake
20629,True
38529,Fake
33556,Fake
17596,True
29879,Fake
7011,True
43651,Fake
41668,Fake
20918,True
36926,Fake
19374,True
5183,True
18397,True
41697,Fake
36273,Fake
1638,True
15558,True
4154,True
36540,Fake
7566,True
39014,Fake
41204,Fake
34535,Fake
9846,True
14774,True
25102,Fake
14634,True
35105,Fake
79,True
36570,Fake
11276,True
15350,True
4424,True
30779,Fake
38342,Fake
35952,Fake
6945,True
12549,True
44096,Fake
921,True
28860,Fake
3555,True
43334,Fake
19067,True
2312,True
9722,True
35033,Fake
30866,Fake
2513,True
3844,True
40282,Fake
12227,True
11271,True
31264,Fake
11378,True
35350,Fake
43724,Fake
35227,Fake
39720,Fake
25819,Fake
14285,True
29868,Fake
29533,Fake
15886,True
40868,Fake
80,True
24273,Fake
13783,True
4605,True
4604,True
34299,Fake
11164,True
11632,True
1206,True
39842,Fake
15447,True
27169,Fake
24171,Fake
31886,Fake
34539,Fake
41283,Fake
22751,Fake
2547,True
13640,True
44291,Fake
39698,Fake
22944,Fake
31719,Fake
28639,Fake
20355,True
33087,Fake
32117,Fake
34036,Fake
34002,Fake
27034,Fake
22692,Fake
40679,Fake
26821,Fake
34811,Fake
10568,True
23350,Fake
37878,Fake
39821,Fake
27921,Fake
3049,True
3752,True
26124,Fake
27783,Fake
6527,True
31068,Fake
44115,Fake
32653,Fake
16476,True
36386,Fake
13286,True
31834,Fake
25052,Fake
3073,True
30480,Fake
1388,True
41354,Fake
20416,True
2542,True
41099,Fake
20422,True
43000,Fake
1502,True
526,True
2603,True
36916,Fake
16830,True
9621,True
19965,True
17893,True
25812,Fake
26949,Fake
753,True
44155,Fake
4005,True
24802,Fake
37240,Fake
36374,Fake
30153,Fake
9124,True
18215,True
43955,Fake
26294,Fake
26114,Fake
17124,True
11646,True
20356,True
38026,Fake
40876,Fake
24081,Fake
26343,Fake
4467,True
42664,Fake
36281,Fake
19259,True
32538,Fake
9763,True
34179,Fake
33061,Fake
7777,True
40974,Fake
15814,True
26252,Fake
40660,Fake
14057,True
19104,True
14982,True
12027,True
26911,Fake
13760,True
744,True
6736,True
16270,True
36325,Fake
33279,Fake
37337,Fake
14008,True
35164,Fake
3390,True
12059,True
26190,Fake
268,True
10751,True
6176,True
20180,True
32131,Fake
41380,Fake
3321,True
33825,Fake
1472,True
44104,Fake
26454,Fake
8443,True
16996,True
24821,Fake
6242,True
27200,Fake
3776,True
5340,True
366,True
21810,Fake
12312,True
25971,Fake
31328,Fake
4626,True
30785,Fake
44531,Fake
22271,Fake
23467,Fake
42809,Fake
24515,Fake
24977,Fake
22748,Fake
36360,Fake
3338,True
39686,Fake
41396,Fake
22173,Fake
44349,Fake
6909,True
36580,Fake
4500,True
21828,Fake
18090,True
19039,True
3197,True
16207,True
27661,Fake
44862,Fake
27486,Fake
8307,True
33588,Fake
9900,True
4986,True
35729,Fake
21823,Fake
43508,Fake
24577,Fake
3342,True
31857,Fake
24935,Fake
36791,Fake
24420,Fake
10499,True
42382,Fake
33536,Fake
29453,Fake
24305,Fake
12127,True
4706,True
25038,Fake
13912,True
4957,True
18442,True
6724,True
33480,Fake
40864,Fake
10358,True
5608,True
29920,Fake
24685,Fake
24006,Fake
25056,Fake
10140,True
37480,Fake
33864,Fake
5286,True
7220,True
6977,True
44524,Fake
21687,Fake
38951,Fake
6237,True
11607,True
17652,True
24669,Fake
34113,Fake
35321,Fake
44084,Fake
34158,Fake
35121,Fake
8481,True
1326,True
19253,True
14201,True
31104,Fake
22115,Fake
827,True
12263,True
26213,Fake
28275,Fake
10968,True
40045,Fake
19814,True
29556,Fake
39710,Fake
11215,True
4122,True
37088,Fake
8716,True
16449,True
35118,Fake
9755,True
27443,Fake
9195,True
16973,True
173,True
14035,True
10661,True
2416,True
29315,Fake
14585,True
2636,True
39048,Fake
5490,True
32507,Fake
23913,Fake
15729,True
36453,Fake
15844,True
21428,Fake
4801,True
34312,Fake
8525,True
18852,True
8717,True
27927,Fake
1049,True
17460,True
21112,True
34519,Fake
6623,True
26081,Fake
38491,Fake
37330,Fake
35047,Fake
2867,True
27076,Fake
17089,True
40409,Fake
35475,Fake
11596,True
23524,Fake
15352,True
25275,Fake
8557,True
33553,Fake
6784,True
12968,True
36522,Fake
1165,True
14128,True
15888,True
1313,True
31373,Fake
16646,True
26686,Fake
28383,Fake
13186,True
35384,Fake
33340,Fake
38217,Fake
6840,True
16003,True
1610,True
19908,True
12714,True
22851,Fake
9841,True
4325,True
26649,Fake
23170,Fake
30910,Fake
39875,Fake
36589,Fake
7365,True
23178,Fake
41798,Fake
13531,True
35585,Fake
29482,Fake
41079,Fake
9165,True
3088,True
39706,Fake
485,True
15158,True
13821,True
3926,True
38930,Fake
30113,Fake
17571,True
30507,Fake
8150,True
24452,Fake
35430,Fake
26142,Fake
26323,Fake
34024,Fake
4181,True
10390,True
12081,True
9437,True
9050,True
4310,True
22179,Fake
40881,Fake
36266,Fake
23399,Fake
16624,True
33198,Fake
27767,Fake
20815,True
42830,Fake
7406,True
6160,True
33440,Fake
1788,True
18104,True
40713,Fake
17435,True
20193,True
34001,Fake
37428,Fake
7440,True
16692,True
36134,Fake
34933,Fake
6925,True
28748,Fake
22833,Fake
2566,True
28828,Fake
4083,True
3959,True
16462,True
25031,Fake
39514,Fake
25176,Fake
40826,Fake
13002,True
12361,True
3902,True
42326,Fake
27424,Fake
17547,True
29657,Fake
27806,Fake
15714,True
26453,Fake
19595,True
17858,True
32443,Fake
12575,True
41793,Fake
3727,True
3565,True
16297,True
41942,Fake
11817,True
10901,True
33558,Fake
15409,True
37902,Fake
44735,Fake
8388,True
37894,Fake
39963,Fake
34447,Fake
16244,True
14134,True
34721,Fake
5938,True
2587,True
6794,True
30510,Fake
21527,Fake
44526,Fake
1790,True
2179,True
10426,True
7770,True
26023,Fake
30295,Fake
29751,Fake
2754,True
30682,Fake
17981,True
42743,Fake
9335,True
13895,True
16406,True
28849,Fake
29576,Fake
25708,Fake
179,True
12249,True
44162,Fake
42290,Fake
11816,True
34457,Fake
43842,Fake
11861,True
3533,True
33137,Fake
3974,True
13900,True
35214,Fake
37702,Fake
21896,Fake
14778,True
33613,Fake
30832,Fake
16701,True
44643,Fake
18937,True
33165,Fake
653,True
22610,Fake
13127,True
28689,Fake
18200,True
37859,Fake
32295,Fake
10606,True
9605,True
26787,Fake
16338,True
12120,True
2297,True
22567,Fake
30653,Fake
3481,True
17177,True
8116,True
42391,Fake
9237,True
18360,True
7693,True
4745,True
6903,True
4096,True
13697,True
40540,Fake
11475,True
31572,Fake
13864,True
25840,Fake
39814,Fake
37860,Fake
28537,Fake
33725,Fake
40455,Fake
44632,Fake
10809,True
36225,Fake
4430,True
11460,True
16451,True
21320,True
29179,Fake
9074,True
25141,Fake
40726,Fake
23383,Fake
3367,True
15496,True
42640,Fake
6627,True
13006,True
40766,Fake
41571,Fake
36164,Fake
13901,True
35994,Fake
6226,True
14617,True
2351,True
17496,True
32680,Fake
13709,True
363,True
6646,True
2230,True
20194,True
24688,Fake
8231,True
15,True
34045,Fake
41707,Fake
13573,True
27512,Fake
7166,True
41107,Fake
15774,True
10623,True
12877,True
7141,True
29672,Fake
4730,True
44798,Fake
18150,True
23403,Fake
43505,Fake
41424,Fake
42613,Fake
26257,Fake
41211,Fake
4040,True
28248,Fake
19825,True
24343,Fake
43444,Fake
8030,True
12328,True
20685,True
2854,True
37622,Fake
42479,Fake
6515,True
12105,True
3962,True
25377,Fake
6417,True
24149,Fake
35555,Fake
43349,Fake
12894,True
7305,True
41516,Fake
11055,True
30006,Fake
14869,True
17568,True
40452,Fake
26643,Fake
2730,True
11247,True
11587,True
10154,True
28041,Fake
13197,True
23600,Fake
31182,Fake
40821,Fake
22578,Fake
7509,True
29008,Fake
23038,Fake
21954,Fake
15687,True
18535,True
14166,True
2915,True
20247,True
5148,True
23966,Fake
9805,True
33027,Fake
15724,True
42865,Fake
40818,Fake
31741,Fake
44512,Fake
2126,True
10676,True
12118,True
17759,True
33835,Fake
38737,Fake
1951,True
10296,True
24159,Fake
12043,True
25039,Fake
43265,Fake
16046,True
16578,True
30794,Fake
41097,Fake
28411,Fake
24724,Fake
1008,True
19770,True
44877,Fake
23560,Fake
42975,Fake
4379,True
324,True
29898,Fake
40240,Fake
31830,Fake
27755,Fake
41671,Fake
44174,Fake
41746,Fake
27295,Fake
20278,True
20149,True
252,True
40383,Fake
20140,True
8695,True
13751,True
2710,True
34015,Fake
44157,Fake
26232,Fake
6398,True
11351,True
26020,Fake
14618,True
7709,True
22644,Fake
36735,Fake
31855,Fake
11664,True
34547,Fake
7983,True
5976,True
21647,Fake
36006,Fake
42008,Fake
18925,True
28382,Fake
37027,Fake
40279,Fake
32658,Fake
24820,Fake
26781,Fake
42563,Fake
500,True
28878,Fake
8344,True
37273,Fake
18610,True
16797,True
41721,Fake
22347,Fake
16704,True
37612,Fake
18245,True
25778,Fake
2567,True
38207,Fake
33933,Fake
17953,True
33691,Fake
30721,Fake
16274,True
9208,True
23455,Fake
41003,Fake
39074,Fake
3999,True
38746,Fake
6357,True
10601,True
28035,Fake
44225,Fake
4380,True
33887,Fake
22741,Fake
13075,True
1481,True
3019,True
3382,True
1394,True
4291,True
5805,True
5683,True
25931,Fake
40330,Fake
40898,Fake
34788,Fake
36118,Fake
31322,Fake
13841,True
10210,True
6334,True
21646,Fake
24152,Fake
16677,True
9762,True
15522,True
41087,Fake
37510,Fake
39235,Fake
663,True
11695,True
10922,True
8986,True
16604,True
3090,True
5288,True
25610,Fake
22016,Fake
40989,Fake
37051,Fake
12537,True
22265,Fake
30906,Fake
39696,Fake
1402,True
24675,Fake
21787,Fake
23184,Fake
20452,True
42758,Fake
26417,Fake
11379,True
28548,Fake
13744,True
37138,Fake
28451,Fake
35774,Fake
25034,Fake
25813,Fake
3604,True
34705,Fake
19964,True
33310,Fake
27943,Fake
19365,True
30393,Fake
27713,Fake
36401,Fake
1118,True
27265,Fake
43918,Fake
14075,True
38374,Fake
37476,Fake
19571,True
3320,True
35557,Fake
38904,Fake
25366,Fake
20977,True
20515,True
42271,Fake
29072,Fake
186,True
22925,Fake
14318,True
36186,Fake
5681,True
11829,True
16837,True
8970,True
8194,True
8984,True
40177,Fake
2883,True
20172,True
37710,Fake
32902,Fake
14935,True
23944,Fake
3024,True
27550,Fake
1473,True
36277,Fake
41459,Fake
23259,Fake
12698,True
20548,True
20074,True
3283,True
8286,True
3628,True
31275,Fake
29634,Fake
43707,Fake
12190,True
4280,True
3309,True
14991,True
42579,Fake
38605,Fake
12691,True
10413,True
1212,True
8993,True
16891,True
7019,True
29356,Fake
39346,Fake
21988,Fake
9420,True
7727,True
28711,Fake
25718,Fake
12061,True
10943,True
29097,Fake
23564,Fake
17911,True
14384,True
14828,True
16296,True
33667,Fake
2747,True
31634,Fake
3501,True
14750,True
16033,True
36041,Fake
31704,Fake
1086,True
28595,Fake
14657,True
16922,True
1571,True
8508,True
39550,Fake
30279,Fake
19005,True
30269,Fake
43302,Fake
16729,True
35810,Fake
38009,Fake
39190,Fake
28746,Fake
7928,True
27104,Fake
21905,Fake
10056,True
35382,Fake
30552,Fake
34446,Fake
33500,Fake
11059,True
36975,Fake
19762,True
18513,True
25182,Fake
35498,Fake
20165,True
10724,True
18525,True
24297,Fake
12122,True
22998,Fake
983,True
20784,True
30946,Fake
18949,True
9824,True
41791,Fake
13955,True
32400,Fake
2293,True
27484,Fake
3386,True
34199,Fake
18241,True
24694,Fake
13016,True
18172,True
25589,Fake
588,True
36188,Fake
44199,Fake
15857,True
42239,Fake
23413,Fake
24873,Fake
20878,True
8135,True
23008,Fake
43026,Fake
22021,Fake
35659,Fake
29159,Fake
12484,True
19941,True
26341,Fake
18285,True
27936,Fake
27260,Fake
14748,True
11604,True
42316,Fake
15542,True
13750,True
28113,Fake
20273,True
42383,Fake
21085,True
5484,True
11538,True
29194,Fake
24492,Fake
11128,True
19002,True
36687,Fake
18526,True
17914,True
27553,Fake
839,True
15695,True
28900,Fake
16196,True
43643,Fake
22742,Fake
2426,True
6378,True
19346,True
9831,True
8043,True
32369,Fake
11161,True
26397,Fake
36858,Fake
38583,Fake
9700,True
19404,True
38825,Fake
23466,Fake
43449,Fake
20739,True
22457,Fake
40430,Fake
16260,True
11647,True
27517,Fake
32770,Fake
35593,Fake
10313,True
20169,True
10545,True
7223,True
33367,Fake
17081,True
896,True
28333,Fake
9228,True
4761,True
36042,Fake
1661,True
38920,Fake
39159,Fake
41897,Fake
44778,Fake
16366,True
38626,Fake
27727,Fake
16562,True
5110,True
13427,True
23931,Fake
16195,True
26482,Fake
18580,True
168,True
28363,Fake
26249,Fake
36519,Fake
25585,Fake
35488,Fake
30517,Fake
15761,True
31397,Fake
13059,True
27150,Fake
8730,True
22809,Fake
28103,Fake
13453,True
19296,True
747,True
29673,Fake
16637,True
8386,True
32259,Fake
28981,Fake
13148,True
21612,Fake
37189,Fake
33837,Fake
2014,True
35853,Fake
30045,Fake
42695,Fake
40534,Fake
32368,Fake
21984,Fake
37444,Fake
18108,True
39059,Fake
5962,True
31530,Fake
36804,Fake
25739,Fake
44542,Fake
44402,Fake
11213,True
30288,Fake
19913,True
24017,Fake
7665,True
41176,Fake
23529,Fake
21398,True
41672,Fake
38115,Fake
13160,True
28300,Fake
42534,Fake
9312,True
38943,Fake
30058,Fake
20168,True
32091,Fake
175,True
10776,True
38729,Fake
24209,Fake
12036,True
382,True
11142,True
38836,Fake
4597,True
31453,Fake
16000,True
23158,Fake
14104,True
41846,Fake
28840,Fake
35361,Fake
25872,Fake
31231,Fake
22808,Fake
12871,True
9847,True
23868,Fake
44074,Fake
18385,True
